epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.025,1.25374,3.27168,1.2522,0.02991,0.66636,0.20106,0.16,0.96593,inf,0.99972,0.00012861,0.00012861,0.00012861
2,391.602,0.92879,2.40448,1.00588,0.03817,0.73092,0.25249,0.19918,0.97778,inf,1.0121,0.000270159,0.000270159,0.000270159
3,462.507,0.75649,1.34219,0.92273,0.0289,0.49784,0.27546,0.20639,1.11979,3.1803,1.08615,0.000410287,0.000410287,0.000410287
4,543.719,0.61458,0.76536,0.88251,0.02795,0.51441,0.33075,0.28201,1.01091,2.96405,1.05426,0.000548992,0.000548992,0.000548992
5,600.936,0.54339,0.63245,0.85829,1,0.06086,0.33493,0.25702,1.11445,2.71801,1.10168,0.000686276,0.000686276,0.000686276
6,668.179,0.50209,0.57235,0.84859,1,0.11088,0.32295,0.26998,1.01182,2.60778,1.10147,0.000822138,0.000822138,0.000822138
7,728.6,0.4978,0.53975,0.84203,0.99959,0.24687,0.35485,0.28838,0.98982,2.28567,1.07523,0.000956578,0.000956578,0.000956578
8,791.321,0.45424,0.50649,0.83954,0.99767,0.27667,0.34062,0.24317,1.15393,2.26701,1.18886,0.0010896,0.0010896,0.0010896
9,842.532,0.45082,0.49249,0.8346,0.98165,0.26485,0.33505,0.25104,1.0224,2.02968,1.21377,0.00122119,0.00122119,0.00122119
10,903.837,0.44737,0.4741,0.82735,0.95146,0.22,0.29855,0.21742,1.09022,2.22448,1.27692,0.00135137,0.00135137,0.00135137
11,965.284,0.46007,0.46624,0.82689,0.99426,0.31121,0.36516,0.29678,1.00191,1.60689,1.18383,0.00135791,0.00135791,0.00135791
12,1019.05,0.42338,0.43886,0.82448,0.65805,0.3297,0.55712,0.45649,0.99507,1.34892,1.1742,0.0013508,0.0013508,0.0013508
13,1074.65,0.43628,0.44077,0.82451,0.69436,0.50829,0.552,0.4301,1.08773,1.25923,1.18531,0.00134369,0.00134369,0.00134369
14,1130.33,0.40494,0.41293,0.8252,0.98383,0.35,0.54671,0.42248,0.99282,1.40003,1.24574,0.00133658,0.00133658,0.00133658
15,1193.07,0.37501,0.40079,0.8205,0.92072,0.48915,0.53157,0.42666,1.07562,1.39958,1.27565,0.00132947,0.00132947,0.00132947
16,1245.88,0.38231,0.39738,0.81682,0.66562,0.6032,0.59748,0.47003,0.99875,1.03332,1.20643,0.00132236,0.00132236,0.00132236
17,1303.61,0.36051,0.37094,0.81763,0.53153,0.41894,0.6073,0.46663,0.9357,0.96635,1.17529,0.00131525,0.00131525,0.00131525
18,1354.26,0.35726,0.36513,0.81451,0.8208,0.55609,0.62453,0.4916,0.91593,0.89499,1.1502,0.00130814,0.00130814,0.00130814
19,1399.02,0.35052,0.35839,0.81589,0.83202,0.55441,0.6477,0.4817,0.86971,0.77616,1.15668,0.00130103,0.00130103,0.00130103
20,1454.16,0.35205,0.35457,0.81344,0.61649,0.61871,0.60505,0.45362,0.96251,0.92753,1.23599,0.00129392,0.00129392,0.00129392
21,1504.3,0.33204,0.34522,0.81168,0.66844,0.61393,0.62507,0.47837,0.94807,0.8083,1.19824,0.00128681,0.00128681,0.00128681
22,1552.44,0.33735,0.33708,0.80886,0.70264,0.62522,0.66536,0.50814,0.94503,0.74289,1.22393,0.00127971,0.00127971,0.00127971
23,1599.91,0.33531,0.33132,0.80674,0.99564,0.55549,0.66017,0.48976,0.9486,0.77001,1.23514,0.0012726,0.0012726,0.0012726
24,1651.58,0.32462,0.31841,0.80647,0.73431,0.55213,0.5193,0.4214,0.94261,0.87835,1.27093,0.00126549,0.00126549,0.00126549
25,1711.18,0.32559,0.31813,0.80884,0.86863,0.60896,0.74817,0.55299,0.88788,0.76092,1.19174,0.00125838,0.00125838,0.00125838
26,1760.18,0.31097,0.30556,0.79989,0.92563,0.60602,0.69349,0.50306,0.89959,0.79314,1.18793,0.00125127,0.00125127,0.00125127
27,1809.26,0.30851,0.29997,0.80403,0.90257,0.60093,0.64974,0.4827,0.92464,0.88779,1.21027,0.00124416,0.00124416,0.00124416
28,1860.72,0.30233,0.29605,0.80051,0.81594,0.55307,0.60137,0.46114,0.92207,0.83137,1.1818,0.00123705,0.00123705,0.00123705
29,1904.78,0.29513,0.28689,0.80264,0.92158,0.5568,0.65186,0.48933,0.89436,0.8416,1.17599,0.00122994,0.00122994,0.00122994
30,1957.64,0.30558,0.29305,0.80334,0.72722,0.58928,0.58413,0.46131,0.89808,0.7746,1.21538,0.00122283,0.00122283,0.00122283
31,2001.39,0.30624,0.28895,0.80056,0.97522,0.55364,0.60431,0.46273,0.90493,0.70847,1.21724,0.00121572,0.00121572,0.00121572
32,2053.7,0.29054,0.27962,0.80362,0.86085,0.59873,0.63609,0.49236,0.8417,0.7052,1.16813,0.00120861,0.00120861,0.00120861
33,2099.29,0.28331,0.2761,0.79982,0.91859,0.60894,0.63308,0.4755,0.86282,0.719,1.19519,0.0012015,0.0012015,0.0012015
34,2149.5,0.28587,0.27194,0.79953,0.70603,0.55989,0.57306,0.46583,0.88104,0.80597,1.18309,0.00119439,0.00119439,0.00119439
35,2200.93,0.28343,0.2694,0.80135,0.56883,0.6223,0.59962,0.4729,0.83101,0.75182,1.17727,0.00118728,0.00118728,0.00118728
36,2252.29,0.28386,0.26729,0.7996,0.68866,0.5648,0.62104,0.47421,0.87177,0.78245,1.1551,0.00118018,0.00118018,0.00118018
37,2300.07,0.27502,0.26059,0.80117,0.59038,0.62602,0.62688,0.47222,0.86881,0.78861,1.15044,0.00117307,0.00117307,0.00117307
38,2347.19,0.27463,0.25911,0.79807,0.6733,0.58834,0.58949,0.45172,0.88466,0.77843,1.19302,0.00116596,0.00116596,0.00116596
39,2396.44,0.28042,0.25804,0.80009,0.79366,0.58088,0.59306,0.45236,0.96713,0.82831,1.2229,0.00115885,0.00115885,0.00115885
40,2446.78,0.27454,0.25786,0.80082,0.83214,0.54713,0.61946,0.46006,0.92072,0.7972,1.20587,0.00115174,0.00115174,0.00115174
41,2494.4,0.26784,0.25264,0.79358,0.83627,0.60644,0.63167,0.46998,0.86492,0.72327,1.17831,0.00114463,0.00114463,0.00114463
42,2539.04,0.26767,0.25347,0.7992,0.82768,0.61295,0.63226,0.45941,0.94992,0.75802,1.23363,0.00113752,0.00113752,0.00113752
43,2585.61,0.28799,0.25995,0.80377,0.79121,0.60847,0.62856,0.46582,0.94531,0.82153,1.22627,0.00113041,0.00113041,0.00113041
44,2633.8,0.27739,0.25625,0.79801,0.93605,0.59621,0.66452,0.50296,0.87904,0.70314,1.1802,0.0011233,0.0011233,0.0011233
45,2681.26,0.26119,0.24862,0.79631,0.90026,0.61544,0.66139,0.49734,0.86811,0.76272,1.16922,0.00111619,0.00111619,0.00111619
46,2727.53,0.26011,0.24359,0.79944,0.82731,0.61224,0.66781,0.45456,0.95902,0.80843,1.20806,0.00110908,0.00110908,0.00110908
47,2781.26,0.25874,0.23934,0.79611,0.73116,0.57831,0.59504,0.45842,0.85701,0.84324,1.13691,0.00110197,0.00110197,0.00110197
48,2828.01,0.251,0.24002,0.79527,0.58303,0.64826,0.60065,0.48514,0.83841,0.7259,1.13554,0.00109486,0.00109486,0.00109486
