epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.95,1.22454,3.34013,1.27957,0.02693,0.37233,0.08826,0.07127,0.88997,inf,1.01863,0.00011432,0.00011432,0.00011432
2,559.042,0.49919,2.20434,0.90181,0.0304,0.34717,0.16752,0.1383,0.58355,inf,0.86187,0.000240525,0.000240525,0.000240525
3,606.17,0.32023,0.93966,0.83309,0.03245,0.31091,0.24291,0.17341,0.5864,inf,0.87011,0.000364184,0.000364184,0.000364184
4,632.285,0.23117,0.4505,0.80911,0.03388,0.35532,0.30436,0.24447,0.58514,inf,0.86716,0.000485296,0.000485296,0.000485296
5,663.499,0.20596,0.31221,0.80004,1,0.24392,0.31052,0.25134,0.59311,2.64087,0.85903,0.000603861,0.000603861,0.000603861
6,698.763,0.18337,0.25177,0.79564,0.99922,0.28758,0.31485,0.25866,0.53203,2.41874,0.85134,0.00071988,0.00071988,0.00071988
7,734.726,0.17321,0.22472,0.79212,0.98732,0.29515,0.35552,0.2867,0.51444,2.20888,0.85203,0.000833353,0.000833353,0.000833353
8,765.063,0.16772,0.21239,0.79119,0.99801,0.29576,0.54444,0.46662,0.49162,2.06108,0.85759,0.000944279,0.000944279,0.000944279
9,797.982,0.16318,0.20396,0.79049,0.95373,0.30589,0.83729,0.7176,0.48754,1.73063,0.8599,0.00105266,0.00105266,0.00105266
10,830.719,0.15293,0.19177,0.78822,0.95446,0.32749,0.84799,0.73606,0.46303,1.53371,0.84602,0.00115849,0.00115849,0.00115849
11,862.415,0.14909,0.18582,0.78758,0.93969,0.36891,0.89554,0.78229,0.43669,1.28528,0.83672,0.00126178,0.00126178,0.00126178
12,897.432,0.1485,0.18246,0.78733,0.9416,0.59851,0.89425,0.77368,0.41449,1.16515,0.83465,0.00127338,0.00127338,0.00127338
13,930.359,0.1427,0.17645,0.7866,0.92849,0.72706,0.89306,0.75941,0.4207,0.99884,0.83635,0.00125923,0.00125923,0.00125923
14,959.547,0.1339,0.16387,0.78552,0.9718,0.81889,0.90224,0.79955,0.38929,0.9097,0.83052,0.00124509,0.00124509,0.00124509
15,997.912,0.12951,0.15776,0.78483,0.93018,0.90769,0.90433,0.77935,0.38384,0.71446,0.83324,0.00123094,0.00123094,0.00123094
16,1027.71,0.12548,0.15182,0.78465,0.94027,0.82635,0.89865,0.79186,0.38344,0.63335,0.82971,0.00121679,0.00121679,0.00121679
17,1066.47,0.1203,0.14814,0.78329,0.91408,0.91419,0.90813,0.8294,0.36634,0.51649,0.82666,0.00120265,0.00120265,0.00120265
18,1096,0.11188,0.1358,0.7828,0.98815,0.83668,0.90456,0.80388,0.35829,0.51005,0.82527,0.0011885,0.0011885,0.0011885
19,1136.12,0.11049,0.13045,0.78211,0.97137,0.84582,0.90789,0.81915,0.34289,0.43043,0.82468,0.00117435,0.00117435,0.00117435
20,1165.12,0.10741,0.12689,0.78181,0.9404,0.90554,0.90426,0.8051,0.34098,0.45537,0.82504,0.00116021,0.00116021,0.00116021
21,1202.84,0.10347,0.12126,0.78133,0.97132,0.88099,0.90737,0.81167,0.33499,0.39404,0.82451,0.00114606,0.00114606,0.00114606
22,1233.43,0.10096,0.11878,0.7809,0.95241,0.905,0.91068,0.82613,0.32304,0.37294,0.82005,0.00113191,0.00113191,0.00113191
23,1274.96,0.09923,0.11504,0.78068,0.93956,0.89003,0.90572,0.84207,0.30831,0.38991,0.81685,0.00111776,0.00111776,0.00111776
24,1305.05,0.10125,0.11483,0.78045,0.95681,0.90681,0.91077,0.84198,0.31292,0.386,0.82052,0.00110362,0.00110362,0.00110362
25,1351.2,0.09635,0.10903,0.78037,0.98694,0.88013,0.91002,0.83194,0.31557,0.35321,0.82134,0.00108947,0.00108947,0.00108947
26,1379.36,0.09618,0.10773,0.78028,0.97344,0.88273,0.91085,0.80976,0.31993,0.39462,0.82378,0.00107532,0.00107532,0.00107532
27,1422.55,0.09425,0.10554,0.77997,0.95684,0.90386,0.91156,0.82519,0.311,0.37774,0.81972,0.00106118,0.00106118,0.00106118
28,1455.46,0.09125,0.10186,0.77967,0.94899,0.90785,0.90984,0.83082,0.30658,0.36125,0.81804,0.00104703,0.00104703,0.00104703
29,1495.4,0.09034,0.10005,0.77962,0.98354,0.88157,0.91181,0.8324,0.30512,0.38305,0.8181,0.00103288,0.00103288,0.00103288
30,1524.67,0.0916,0.09861,0.7792,0.97111,0.90628,0.91845,0.84746,0.29618,0.32949,0.81574,0.00101873,0.00101873,0.00101873
31,1571.24,0.08932,0.09724,0.77904,0.94306,0.90325,0.91348,0.85917,0.30493,0.33531,0.81975,0.00100459,0.00100459,0.00100459
32,1599.44,0.08865,0.09748,0.77898,0.96905,0.90685,0.91968,0.82673,0.30507,0.35074,0.81727,0.00099044,0.00099044,0.00099044
33,1643.59,0.08864,0.09527,0.77908,0.96091,0.89669,0.91502,0.84491,0.30297,0.34873,0.81599,0.000976293,0.000976293,0.000976293
34,1671.63,0.08715,0.09271,0.77889,0.95159,0.88353,0.91455,0.8353,0.30159,0.38437,0.81818,0.000962146,0.000962146,0.000962146
35,1712.83,0.08402,0.08874,0.77859,0.96334,0.91063,0.92811,0.84629,0.30485,0.36616,0.81566,0.000947999,0.000947999,0.000947999
36,1743.58,0.08577,0.08972,0.77844,0.96401,0.90738,0.92193,0.84098,0.29728,0.37111,0.81676,0.000933851,0.000933851,0.000933851
37,1788.12,0.08502,0.08979,0.7784,0.93782,0.90538,0.92207,0.84519,0.28952,0.36617,0.81514,0.000919704,0.000919704,0.000919704
38,1815.39,0.08307,0.08721,0.77834,0.95123,0.90389,0.92325,0.84591,0.28952,0.3495,0.81741,0.000905557,0.000905557,0.000905557
39,1863.25,0.08013,0.08397,0.77809,0.94278,0.88215,0.91889,0.85305,0.28889,0.36423,0.81578,0.00089141,0.00089141,0.00089141
40,1895.87,0.08137,0.0835,0.77807,0.97279,0.88389,0.93211,0.86911,0.29519,0.3636,0.81585,0.000877263,0.000877263,0.000877263
41,1936.93,0.07931,0.08232,0.778,0.99128,0.88315,0.93768,0.85344,0.29786,0.36942,0.81766,0.000863116,0.000863116,0.000863116
42,1961.12,0.07913,0.08129,0.77762,0.97841,0.8792,0.93724,0.87592,0.29034,0.3612,0.81493,0.000848969,0.000848969,0.000848969
43,2006.15,0.07884,0.08015,0.7777,0.97487,0.87273,0.93497,0.86417,0.29465,0.36766,0.81547,0.000834822,0.000834822,0.000834822
44,2030.83,0.07794,0.07947,0.77749,0.98606,0.88358,0.94063,0.88104,0.28775,0.34815,0.81457,0.000820675,0.000820675,0.000820675
45,2080.53,0.07853,0.07786,0.77756,0.95279,0.88446,0.93731,0.86966,0.28847,0.37744,0.81599,0.000806528,0.000806528,0.000806528
46,2107.33,0.07885,0.07905,0.77753,0.95839,0.88389,0.93765,0.86781,0.29123,0.37261,0.81461,0.00079238,0.00079238,0.00079238
47,2150.03,0.07819,0.07898,0.77741,0.96636,0.88273,0.93865,0.87275,0.28955,0.3668,0.81533,0.000778233,0.000778233,0.000778233
48,2179.8,0.0759,0.07636,0.77729,0.98886,0.88057,0.94611,0.88599,0.29353,0.36628,0.81565,0.000764086,0.000764086,0.000764086
49,2218.48,0.07439,0.07524,0.77712,0.9836,0.88215,0.94179,0.87141,0.2929,0.38267,0.81654,0.000749939,0.000749939,0.000749939
50,2249.41,0.07345,0.07305,0.77694,0.97552,0.88265,0.94697,0.87772,0.29609,0.37737,0.8147,0.000735792,0.000735792,0.000735792
51,2294.5,0.07238,0.07203,0.77679,0.97923,0.88249,0.94139,0.86254,0.29045,0.37694,0.81539,0.000721645,0.000721645,0.000721645
52,2321.07,0.0743,0.07316,0.77694,0.9733,0.88034,0.93923,0.87445,0.29461,0.37491,0.81622,0.000707498,0.000707498,0.000707498
53,2366.26,0.07583,0.07519,0.77705,0.9728,0.87953,0.94621,0.88215,0.28628,0.35486,0.81408,0.000693351,0.000693351,0.000693351
54,2395.58,0.07532,0.07474,0.777,0.98413,0.88067,0.94353,0.88204,0.28715,0.3603,0.8144,0.000679204,0.000679204,0.000679204
55,2445.03,0.07408,0.07336,0.77723,0.98133,0.88053,0.94082,0.87741,0.2999,0.35428,0.8169,0.000665057,0.000665057,0.000665057
